Mês,Participação (%),Volume,Marca
Janeiro,16.14,16762,Volkswagen
Fevereiro,14.33,13732,Volkswagen
Março,13.79,20151,Volkswagen
Abril,14.93,17635,Volkswagen
Maio,17.8,22693,Volkswagen
Junho,17.25,24500,Volkswagen
Julho,20.25,35793,Volkswagen
Agosto,15.41,23655,Volkswagen
Setembro,16.38,23855,Volkswagen
Outubro,17.12,27932,Volkswagen
Novembro,16.24,26088,Volkswagen
Dezembro,20.02,37589,Volkswagen
Janeiro,16.09,16714,Fiat
Fevereiro,16.11,15435,Fiat
Março,16.35,23891,Fiat
Abril,16.8,19839,Fiat
Maio,14.36,18300,Fiat
Junho,18.59,26399,Fiat
Julho,16.08,28409,Fiat
Agosto,16.71,25637,Fiat
Setembro,16.1,23447,Fiat
Outubro,15.95,26029,Fiat
Novembro,16.0,25708,Fiat
Dezembro,14.62,27439,Fiat
Janeiro,19.79,20555,Chevrolet
Fevereiro,17.45,16717,Chevrolet
Março,15.94,23299,Chevrolet
Abril,15.69,18534,Chevrolet
Maio,15.88,20244,Chevrolet
Junho,15.31,21733,Chevrolet
Julho,14.06,24848,Chevrolet
Agosto,16.11,24715,Chevrolet
Setembro,16.38,23866,Chevrolet
Outubro,16.74,27306,Chevrolet
Novembro,14.56,23398,Chevrolet
Dezembro,14.12,26502,Chevrolet
Janeiro,11.09,11515,Hyundai
Fevereiro,9.1,8722,Hyundai
Março,11.12,16257,Hyundai
Abril,11.62,13729,Hyundai
Maio,8.57,10920,Hyundai
Junho,12.75,22532,Hyundai
Julho,10.23,12431,Hyundai
Agosto,11.08,15704,Hyundai
Setembro,10.0,16146,Hyundai
Outubro,12.76,16319,Hyundai
Novembro,11.31,20501,Hyundai
Dezembro,11.31,21243,Hyundai
Janeiro,8.65,8982,Toyota
Fevereiro,9.95,9536,Toyota
Março,8.84,12924,Toyota
Abril,9.38,11076,Toyota
Maio,9.77,12454,Toyota
Junho,8.21,11659,Toyota
Julho,7.3,12897,Toyota
Agosto,8.88,13628,Toyota
Setembro,8.43,12283,Toyota
Outubro,8.36,13637,Toyota
Novembro,6.86,11019,Toyota
Dezembro,8.5,15960,Toyota
Janeiro,8.19,8503,Jeep
Fevereiro,9.44,9043,Jeep
Março,9.72,14207,Jeep
Abril,8.44,9964,Jeep
Maio,9.26,11798,Jeep
Junho,6.89,9778,Jeep
Julho,6.61,11681,Jeep
Agosto,8.01,12293,Jeep
Setembro,6.68,9734,Jeep
Outubro,5.81,9473,Jeep
Novembro,7.3,11729,Jeep
Dezembro,4.48,8420,Jeep
Janeiro,5.4,5606,Renault
Fevereiro,6.73,6452,Renault
Março,6.62,9676,Renault
Abril,5.18,6119,Renault
Maio,4.52,5759,Renault
Junho,6.28,8917,Renault
Julho,6.63,11715,Renault
Agosto,4.8,7371,Renault
Setembro,5.81,8462,Renault
Outubro,6.1,9952,Renault
Novembro,6.35,10200,Renault
Dezembro,6.66,12499,Renault
Janeiro,3.15,3273,Honda
Fevereiro,4.37,4183,Honda
Março,4.6,6727,Honda
Abril,5.55,6550,Honda
Maio,5.26,6708,Honda
Junho,4.69,6664,Honda
Julho,3.81,6732,Honda
Agosto,4.84,7427,Honda
Setembro,4.12,5995,Honda
Outubro,3.42,5576,Honda
Novembro,3.5,5620,Honda
Dezembro,3.51,6585,Honda
Janeiro,3.26,3382,Nissan
Fevereiro,4.04,3872,Nissan
Março,4.14,6046,Nissan
Abril,3.51,4142,Nissan
Maio,4.34,5529,Nissan
Junho,3.37,4781,Nissan
Julho,3.46,6118,Nissan
Agosto,3.58,5489,Nissan
Setembro,3.95,5759,Nissan
Outubro,4.52,7375,Nissan
Novembro,3.29,5288,Nissan
Dezembro,3.4,6379,Nissan
Janeiro,1.28,1327,CAOA Chery
Fevereiro,1.35,1296,CAOA Chery
Março,1.15,1679,CAOA Chery
Abril,1.32,1563,CAOA Chery
Maio,1.54,1966,CAOA Chery
Junho,1.96,2778,CAOA Chery
Julho,1.55,2744,CAOA Chery
Agosto,2.05,3151,CAOA Chery
Setembro,2.02,2937,CAOA Chery
Outubro,2.32,3788,CAOA Chery
Novembro,2.59,4162,CAOA Chery
Dezembro,2.18,4088,CAOA Chery
